,r,C,T,n,fold,best_alpha,mse,evs
0,2,2,16,16,0,0.1,1.0724086531688777,-1.5186013230676862
0,2,2,16,32,0,1.0,1.0228375714491547,-1.6320396889700626
0,2,2,16,64,0,0.1,0.5224453499500121,-0.7403225181734536
0,2,2,16,128,0,0.1,0.23309252212708356,0.13524907763181637
0,2,2,16,256,0,0.1,0.09931159520982091,0.5835888058527225
0,2,2,16,512,0,0.1,0.23930943161033716,-0.003029244175535961
0,2,2,16,1024,0,0.1,0.620504676396417,-0.1387436302136451
0,2,2,16,2048,0,0.1,0.31966511817702936,0.12486537363163874
0,2,2,32,16,0,1.0,0.37062539437949793,-0.12787036636993765
0,2,2,32,32,0,0.1,0.5266768576698417,-1.0792513491699127
0,2,2,32,64,0,0.1,0.23426800527385153,0.12068667956570245
0,2,2,32,128,0,1.0,0.2988630962692622,0.16753923147163596
0,2,2,32,256,0,0.1,0.2443526646766244,0.4410022169999209
0,2,2,32,512,0,0.1,0.40923740637737627,-0.5306070132721583
0,2,2,32,1024,0,1.0,0.36010746674093586,0.11056176141598317
0,2,2,32,2048,0,0.1,0.31851258579277003,-0.3524383261178581
0,2,2,64,16,0,1.0,0.20863302647624132,0.14191910412221742
0,2,2,64,32,0,0.1,0.3127263415834814,-0.14780010124155973
0,2,2,64,64,0,1.0,0.293828372151445,0.01509931100634998
0,2,2,64,128,0,1.0,0.2456855041350969,0.2421674156622804
0,2,2,64,256,0,1.0,0.23904914776094344,0.15123979702943713
0,2,2,64,512,0,1.0,0.3250824472291701,-0.09041873871756256
0,2,2,64,1024,0,1.0,0.22787080922865785,0.1513387153881255
0,2,2,64,2048,0,1.0,0.2964753369513853,-0.1838268792594997
0,2,2,128,16,0,1.0,0.24813443801909912,0.11337901250880711
0,2,2,128,32,0,0.1,0.22559149080673208,0.09983055524901463
0,2,2,128,64,0,1.0,0.22245108019735582,0.14806496162130844
0,2,2,128,128,0,0.1,0.23136589154268006,0.08966386852300112
0,2,2,128,256,0,1.0,0.1734143475233922,0.30026155877823335
0,2,2,128,512,0,1.0,0.2684695017692793,-0.09279222260416842
0,2,2,128,1024,0,1.0,0.2037369997768995,0.18523555113674806
0,2,2,128,2048,0,1.0,0.2602732883680131,-0.012650795026498018
0,2,2,256,16,0,1.0,0.19412869982321623,0.21874050695916658
0,2,2,256,32,0,1.0,0.20568707849966172,0.1759618749667885
0,2,2,256,64,0,1.0,0.2130790388599083,0.1631017088396105
0,2,2,256,128,0,0.1,0.2045373308625336,0.21632643857831202
0,2,2,256,256,0,0.1,0.19665585258323104,0.22805975280697754
0,2,2,256,512,0,1.0,0.26954701971906403,-0.0012692171906618643
0,2,2,256,1024,0,1.0,0.22209388076350453,0.09790202879112408
0,2,2,256,2048,0,1.0,0.20886446238614506,0.1568024708980139
0,2,2,512,16,0,1.0,0.1952416088531524,0.2202134768583498
0,2,2,512,32,0,1.0,0.2205210136166486,0.13484707329263967
0,2,2,512,64,0,10.0,0.2205890514610187,0.12308613292384929
0,2,2,512,128,0,0.1,0.2087045471761354,0.18576681262734052
0,2,2,512,256,0,1.0,0.22410464795934826,0.10364019239812239
0,2,2,512,512,0,1.0,0.22050425942347734,0.12535106724918177
0,2,2,512,1024,0,0.1,0.20992515170691448,0.1513117370935474
0,2,2,512,2048,0,1.0,0.2135986627892904,0.16098818703133844
0,2,2,1024,16,0,1.0,0.21599274535122834,0.1455433859857762
0,2,2,1024,32,0,1.0,0.22835579345586454,0.08709918705728636
0,2,2,1024,64,0,1.0,0.21814873985553573,0.12901677796364652
0,2,2,1024,128,0,1.0,0.20725288237150064,0.18493949394107612
0,2,2,1024,256,0,1.0,0.21885341326818003,0.1257350099022715
0,2,2,1024,512,0,1.0,0.21264241287360466,0.14530160422391503
0,2,2,1024,1024,0,1.0,0.20791627791064538,0.15956552419530745
0,2,2,1024,2048,0,1.0,0.20115975061557906,0.19473493865121716
0,2,2,2048,16,0,10.0,0.2188869482568567,0.1319954818533574
0,2,2,2048,32,0,1.0,0.21246890594596293,0.15381018469354346
0,2,2,2048,64,0,1.0,0.20640290145514592,0.1743824440064521
0,2,2,2048,128,0,1.0,0.19914704680663745,0.2057098305933992
0,2,2,2048,256,0,1.0,0.20400552158410223,0.18397655061805862
0,2,2,2048,512,0,1.0,0.21235543265958245,0.1492192522057355
0,2,2,2048,1024,0,1.0,0.2104773766159583,0.15823903222187496
0,2,2,2048,2048,0,1.0,0.20447374513510874,0.18221196936388973
0,2,10,16,16,0,0.1,7.360131928489159,-0.025248299627194992
0,2,10,16,32,0,0.1,8.645025015087285,0.10621930425127557
0,2,10,16,64,0,1.0,10.795195093388646,-0.0253790617206211
0,2,10,16,128,0,1.0,4.990038809192528,0.4002489980343529
0,2,10,16,256,0,0.01,5.638217969275731,0.4509996247595869
0,2,10,16,512,0,1.0,14.441440951426436,0.2975593962981593
0,2,10,16,1024,0,1.0,8.630472174338156,0.391090930661123
0,2,10,16,2048,0,1.0,11.942647345778276,-0.8268156527582131
0,2,10,32,16,0,0.1,6.042029522805736,-0.354494159212005
0,2,10,32,32,0,1.0,6.54009122036685,-0.0689968281193658
0,2,10,32,64,0,1.0,10.729900896226695,-0.09158349172159408
0,2,10,32,128,0,1.0,7.178211365407184,0.24231300375756137
0,2,10,32,256,0,0.1,6.642939627150033,0.12101413819050277
0,2,10,32,512,0,0.1,10.380156910163436,0.36082135779236846
0,2,10,32,1024,0,1.0,4.235021081261847,0.49306057608761333
0,2,10,32,2048,0,1.0,9.390404567225199,-0.39417478512917614
0,2,10,64,16,0,1.0,10.172541194178233,-0.39036173624980575
0,2,10,64,32,0,1.0,7.283152428571846,0.24785657743663458
0,2,10,64,64,0,1.0,8.66366133945196,-0.300691610610899
0,2,10,64,128,0,1.0,5.473920979105017,0.45990005023937386
0,2,10,64,256,0,0.1,6.444387588420646,-0.020944165867670117
0,2,10,64,512,0,0.1,5.270319861596398,0.2816819769124522
0,2,10,64,1024,0,1.0,6.353860683435512,0.2182717831170895
0,2,10,64,2048,0,1.0,5.805792517274316,0.3698728788598079
0,2,10,128,16,0,1.0,9.140635926456302,-0.28892335109990275
0,2,10,128,32,0,1.0,6.538384411345062,0.09299953796738247
0,2,10,128,64,0,1.0,7.401465109706975,0.1405056005476697
0,2,10,128,128,0,1.0,5.45268174339367,0.4145145165937216
0,2,10,128,256,0,1.0,6.67869578924979,0.006785691575103336
0,2,10,128,512,0,1.0,6.723097722541538,0.16646557229194858
0,2,10,128,1024,0,1.0,7.318831489634031,0.10929197852660555
0,2,10,128,2048,0,1.0,6.099862426151637,0.24931530352763565
0,2,10,256,16,0,1.0,7.5454728867468015,0.052434540943180674
0,2,10,256,32,0,1.0,5.7960555884407565,0.25570701590588585
0,2,10,256,64,0,1.0,6.5458839442564765,0.1569793421020964
0,2,10,256,128,0,1.0,5.44273868665314,0.29801372279887195
0,2,10,256,256,0,1.0,6.4706262924713975,0.17581566871978982
0,2,10,256,512,0,1.0,4.923045419657875,0.3167189112149088
0,2,10,256,1024,0,1.0,6.913369009853692,0.13717306541577612
0,2,10,256,2048,0,1.0,5.796729606508897,0.27219761456730074
0,2,10,512,16,0,1.0,5.835521194318205,0.22718050367616283
0,2,10,512,32,0,1.0,5.4884339142432506,0.26381298162372147
0,2,10,512,64,0,1.0,5.961566731606998,0.24827817774467786
0,2,10,512,128,0,1.0,6.164265294754983,0.277761337454549
0,2,10,512,256,0,1.0,6.197332856539031,0.28251530247687573
0,2,10,512,512,0,1.0,5.494157093974903,0.31907054273845703
0,2,10,512,1024,0,1.0,5.896008554854555,0.26818908246750783
0,2,10,512,2048,0,0.1,5.988010978028177,0.32121133861571727
0,2,10,1024,16,0,1.0,6.301691085340767,0.2510563058455588
0,2,10,1024,32,0,10.0,5.643097040955397,0.31299484561930224
0,2,10,1024,64,0,1.0,5.468900602214147,0.3204359873849967
0,2,10,1024,128,0,1.0,5.898108335466088,0.2932372108403377
0,2,10,1024,256,0,1.0,5.712128403361014,0.3079298724345708
0,2,10,1024,512,0,10.0,5.341623958241398,0.3125087861743556
0,2,10,1024,1024,0,1.0,5.882011835257025,0.30456637895317407
0,2,10,1024,2048,0,1.0,5.597892522642458,0.3198097853792715
0,2,10,2048,16,0,1.0,6.348323015120594,0.2536044738995932
0,2,10,2048,32,0,10.0,5.78921609196941,0.3310488230177606
0,2,10,2048,64,0,10.0,5.7192572124746395,0.30728086781718855
0,2,10,2048,128,0,1.0,5.5749208865020226,0.309920027529763
0,2,10,2048,256,0,10.0,5.71707259190005,0.2983849705345203
0,2,10,2048,512,0,10.0,5.405871240158432,0.3139713033221154
0,2,10,2048,1024,0,10.0,5.365877696611139,0.35203291415138793
0,2,10,2048,2048,0,1.0,5.5436220153215565,0.30587432598320274
0,10,2,16,16,0,0.01,0.40120991647734716,0.6351817054850584
0,10,2,16,32,0,0.01,0.5755235046823066,-0.1857897344527688
0,10,2,16,64,0,0.01,0.33719767836945563,0.36469083130693225
0,10,2,16,128,0,0.01,0.21327117450543354,0.6460078410672201
0,10,2,16,256,0,0.01,0.15845400687364034,0.5742729581166105
0,10,2,16,512,0,0.01,0.23346241723418862,0.6673877814227378
0,10,2,16,1024,0,0.01,0.1643556717757143,0.09855718839405625
0,10,2,16,2048,0,0.01,0.3705089056078664,0.024444841535363082
0,10,2,32,16,0,0.01,0.2702984607612395,0.6662661369816375
0,10,2,32,32,0,0.1,0.1699041280048615,0.2154298401214596
0,10,2,32,64,0,0.01,0.15897447204460924,0.49456637583767993
0,10,2,32,128,0,0.01,0.30873028898793053,0.5509351816946438
0,10,2,32,256,0,0.01,0.17628599639661158,0.42940427873396736
0,10,2,32,512,0,0.01,0.3562433251135618,0.23857387303166577
0,10,2,32,1024,0,0.01,0.14821014474161331,0.6183885622758822
0,10,2,32,2048,0,0.1,0.2698341310027306,0.0059683828315780785
0,10,2,64,16,0,0.1,0.3013528487332984,-0.0067104524136683
0,10,2,64,32,0,1.0,0.2039288200511647,0.2144582319385424
0,10,2,64,64,0,0.01,0.1605649786907261,0.4028016688445427
0,10,2,64,128,0,0.01,0.1815939342286712,0.4723926156936378
0,10,2,64,256,0,0.1,0.23847720091890184,0.27480911780328565
0,10,2,64,512,0,0.1,0.2016047058544296,0.45147616690087755
