,r,C,T,n,fold,best_alpha,mse,evs
0,2,2,16,16,0,0.01,1.1113814428735216,-1.712679484185161
0,2,2,16,32,0,1.0,0.9827454504643822,-1.5642081035961826
0,2,2,16,64,0,0.1,0.5649338699941875,-0.500998942040906
0,2,2,16,128,0,0.01,0.22191922085512544,0.0589814803893276
0,2,2,16,256,0,0.01,0.0912516769166747,0.6127060794534349
0,2,2,16,512,0,0.1,0.36340030486634056,-0.49036833897969245
0,2,2,16,1024,0,0.1,0.6681250245140264,0.152639490995234
0,2,2,16,2048,0,0.01,0.3648052431375973,-0.00030179316141798473
0,2,2,32,16,0,0.01,0.20269946405936567,0.21286747734052514
0,2,2,32,32,0,0.1,0.5859073206443145,-1.1139561263218325
0,2,2,32,64,0,0.1,0.22815102021472924,0.08220101099344668
0,2,2,32,128,0,0.1,0.40601216305053645,-0.4125336900345209
0,2,2,32,256,0,0.01,0.29930215395117177,0.34128041079519733
0,2,2,32,512,0,0.01,0.4833480791792053,-0.7172240933500003
0,2,2,32,1024,0,0.1,0.36288029103783803,-0.29686655715864196
0,2,2,32,2048,0,0.1,0.18338031877017805,0.29618477485926975
0,2,2,64,16,0,0.1,0.2363010588207816,0.030279123547498843
0,2,2,64,32,0,0.1,0.27551034718456135,0.04528860774047494
0,2,2,64,64,0,1.0,0.3345483360285047,-0.01116867810225286
0,2,2,64,128,0,0.1,0.14947636167137,0.45875689595225266
0,2,2,64,256,0,0.1,0.16756960229148013,0.3319081332473681
0,2,2,64,512,0,0.1,0.25889918875060486,0.01412850423682177
0,2,2,64,1024,0,1.0,0.27425097694473544,0.043102374284531564
0,2,2,64,2048,0,0.1,0.2559982231165395,-0.0393437182689691
0,2,2,128,16,0,0.1,0.19393077387492097,0.24456002977368796
0,2,2,128,32,0,0.1,0.16530955905648384,0.3383267210953995
0,2,2,128,64,0,0.1,0.21802961556362507,0.14615689027146828
0,2,2,128,128,0,0.1,0.15500315831592193,0.4109659263117773
0,2,2,128,256,0,0.1,0.12334694324934332,0.5059636136794395
0,2,2,128,512,0,0.1,0.18220336288772507,0.26425984398215574
0,2,2,128,1024,0,0.1,0.15372840022089718,0.3870206020615099
0,2,2,128,2048,0,0.1,0.19114308489332074,0.22865062982914364
0,2,2,256,16,0,0.1,0.14333923897428358,0.42314652983737167
0,2,2,256,32,0,0.1,0.13088745010835356,0.4810669529531041
0,2,2,256,64,0,0.1,0.1563610041317179,0.37667469119746944
0,2,2,256,128,0,0.1,0.12051857036694587,0.5239485398470427
0,2,2,256,256,0,0.1,0.13959974188950264,0.4537096940040626
0,2,2,256,512,0,0.1,0.15574677923649183,0.4300947560323256
0,2,2,256,1024,0,0.1,0.13189610065294968,0.45008048549613355
0,2,2,256,2048,0,0.1,0.1546284002050971,0.3782845784970532
0,2,2,512,16,0,0.1,0.1321247061064067,0.4712464561359133
0,2,2,512,32,0,0.1,0.14745926682563792,0.41522289060518935
0,2,2,512,64,0,0.1,0.13844557684936554,0.43474469383169345
0,2,2,512,128,0,0.1,0.13370288804792096,0.47861191599956265
0,2,2,512,256,0,0.1,0.1351729114250354,0.4598408144768438
0,2,2,512,512,0,0.1,0.11423623223746249,0.554408575217183
0,2,2,512,1024,0,0.1,0.12880650848320413,0.4814934700641472
0,2,2,512,2048,0,0.1,0.12567820024026233,0.5040224073166466
0,2,2,1024,16,0,1.0,0.1481880555576745,0.4149001878996287
0,2,2,1024,32,0,0.1,0.14610588917074507,0.41673105335559013
0,2,2,1024,64,0,0.1,0.1291175258290333,0.48329979636446163
0,2,2,1024,128,0,0.1,0.12074197257479242,0.5177355581697819
0,2,2,1024,256,0,0.1,0.11778490161909658,0.529216006967671
0,2,2,1024,512,0,0.1,0.11995389129137293,0.5178066046836719
0,2,2,1024,1024,0,0.1,0.1076567218304791,0.5644895058594193
0,2,2,1024,2048,0,0.1,0.10209520044120557,0.591490646406689
0,2,2,2048,16,0,1.0,0.1397980994615774,0.4418104751998503
0,2,2,2048,32,0,0.1,0.12990563169522135,0.4822177703421078
0,2,2,2048,64,0,0.1,0.1208595662031637,0.516723563738064
0,2,2,2048,128,0,0.1,0.10133183031528759,0.5956678772525594
0,2,2,2048,256,0,0.1,0.10947718376345138,0.5621475796560637
0,2,2,2048,512,0,0.1,0.11140207035045327,0.5539954277521124
0,2,2,2048,1024,0,0.1,0.10906858417066422,0.5637962432240016
0,2,2,2048,2048,0,0.1,0.10726448547418066,0.5712183058141802
0,2,10,16,16,0,0.1,7.983948629279626,0.5882536882916736
0,2,10,16,32,0,0.01,6.693582350716742,0.5711905617816196
0,2,10,16,64,0,0.1,11.566549546223136,-0.290235260454359
0,2,10,16,128,0,0.01,2.541929614988215,0.6096382744690695
0,2,10,16,256,0,0.01,7.801044103393174,0.26183922062851905
0,2,10,16,512,0,0.01,7.267084707571578,0.5277403870934205
0,2,10,16,1024,0,0.01,4.6559776139755495,0.35772319121708884
0,2,10,16,2048,0,1.0,9.235665976092642,-0.19666519428202678
0,2,10,32,16,0,0.1,6.2656923400882985,-0.13816109446507552
0,2,10,32,32,0,1.0,4.940898477628678,0.20371480227129302
0,2,10,32,64,0,0.1,8.443935659682607,0.028342234604688765
0,2,10,32,128,0,0.1,5.290258894368225,0.3742759415697252
0,2,10,32,256,0,0.1,6.1062667851298675,0.18570622032588968
0,2,10,32,512,0,0.1,8.257731378313899,0.5419279192018103
0,2,10,32,1024,0,0.1,3.337668096255748,0.44263685114176865
0,2,10,32,2048,0,1.0,8.522279730384238,-0.23918956735760388
0,2,10,64,16,0,0.1,8.61652120337127,-0.16754212179880623
0,2,10,64,32,0,1.0,6.660025998497933,0.27830660814021735
0,2,10,64,64,0,1.0,7.906160227754687,-0.07049855347237322
0,2,10,64,128,0,1.0,5.564073036782252,0.5600466853321493
0,2,10,64,256,0,0.1,6.378748107537734,-0.003942202223639724
0,2,10,64,512,0,0.1,4.626533133426802,0.3651728059694127
0,2,10,64,1024,0,1.0,5.650834276948012,0.30521482708171344
0,2,10,64,2048,0,1.0,6.010345178977778,0.3481576371086742
0,2,10,128,16,0,1.0,7.793849103077335,-0.0987234091853082
0,2,10,128,32,0,1.0,6.249867850980089,0.12558937681139248
0,2,10,128,64,0,0.1,6.240510879179884,0.15855859732885103
0,2,10,128,128,0,1.0,4.200749759046389,0.5494649487344427
0,2,10,128,256,0,0.1,4.0973126951498156,0.2755844843619254
0,2,10,128,512,0,0.1,4.368027437292334,0.41332533824373274
0,2,10,128,1024,0,0.1,5.306725417170556,0.3379352946084495
0,2,10,128,2048,0,1.0,5.4042776211442956,0.33298870813794645
0,2,10,256,16,0,0.1,5.110781326770213,0.3541102154422252
0,2,10,256,32,0,0.1,4.2076217185976015,0.5357097990054684
0,2,10,256,64,0,0.1,4.295544661228344,0.4521499310928411
0,2,10,256,128,0,0.1,3.5020307229128065,0.5629005966240124
0,2,10,256,256,0,0.1,3.9369557596481277,0.48513535931720886
0,2,10,256,512,0,0.1,3.0084122648620353,0.5851584994005867
0,2,10,256,1024,0,0.1,3.9136424082772763,0.5293073508112762
0,2,10,256,2048,0,0.1,3.6576662443721553,0.5190009295593527
0,2,10,512,16,0,1.0,4.547879915423369,0.3958095573759145
0,2,10,512,32,0,0.1,3.5991418198846157,0.5165387186025121
0,2,10,512,64,0,0.1,3.9255632571964787,0.5099268844362932
0,2,10,512,128,0,0.1,3.516566138246384,0.5877328899672476
0,2,10,512,256,0,0.1,3.2325420819315682,0.6224042945435657
0,2,10,512,512,0,0.1,3.0824167706215104,0.6200644691063097
0,2,10,512,1024,0,0.1,3.060781440699677,0.6163599660886714
0,2,10,512,2048,0,0.1,3.191162790224889,0.6357944349256958
0,2,10,1024,16,0,1.0,4.29084456697507,0.4932741484527756
0,2,10,1024,32,0,0.1,3.236357901583015,0.6012944024200068
0,2,10,1024,64,0,0.1,3.357178769664525,0.5759907004775501
0,2,10,1024,128,0,0.1,3.355922337524493,0.5991343413294725
0,2,10,1024,256,0,0.1,2.6069790293193984,0.6842383951974591
0,2,10,1024,512,0,0.1,2.883726259490451,0.6383933985836638
0,2,10,1024,1024,0,0.1,3.1232574322700986,0.6308273745115174
0,2,10,1024,2048,0,0.1,3.066249978463429,0.6269751018515594
0,2,10,2048,16,0,1.0,4.1345113540746325,0.5141700017160095
0,2,10,2048,32,0,0.1,3.686590323256035,0.5737153746256594
0,2,10,2048,64,0,0.1,3.3598105212586216,0.5927911207019807
0,2,10,2048,128,0,0.1,3.1869984364898514,0.606255286876601
0,2,10,2048,256,0,0.1,2.819879840610498,0.6545343328445897
