,r,C,T,n,fold,best_alpha,mse,evs
0,2,2,16,16,0,0.01,1.2188617034442024,-1.4615260516510706
0,2,2,16,32,0,1.0,0.9753299957887516,-1.46041816413496
0,2,2,16,64,0,0.01,0.32172740046083415,0.19712179181506928
0,2,2,16,128,0,0.1,0.19969743519761946,0.15743554322540798
0,2,2,16,256,0,0.01,0.10281201768265544,0.5664939015054238
0,2,2,16,512,0,0.01,0.3627151019846533,-0.5348837259869739
0,2,2,16,1024,0,0.01,0.5370502725618003,0.38104769438513264
0,2,2,16,2048,0,0.01,0.4418040174659187,-0.2882424338385281
0,2,2,32,16,0,0.01,0.2630371305092515,-0.024716618254938982
0,2,2,32,32,0,0.1,0.4357413216155206,-0.6489337632878172
0,2,2,32,64,0,0.1,0.13136441425912482,0.44899052437473796
0,2,2,32,128,0,0.1,0.24161971636455204,0.08326784581017
0,2,2,32,256,0,0.01,0.24940303453439727,0.5317571869622048
0,2,2,32,512,0,0.01,0.4160053842747815,-0.512734903971418
0,2,2,32,1024,0,0.1,0.4366379542903628,-0.4608206160513437
0,2,2,32,2048,0,0.1,0.1766697607078821,0.35890091910840694
0,2,2,64,16,0,1.0,0.1779381861587902,0.26255182536781896
0,2,2,64,32,0,0.1,0.2779664879587902,0.19119223408043118
0,2,2,64,64,0,0.01,0.3049842800348848,-0.05990268068787952
0,2,2,64,128,0,0.1,0.15894510071827136,0.42695152408748915
0,2,2,64,256,0,0.1,0.14823178061213216,0.4383944343746652
0,2,2,64,512,0,0.01,0.22400450994526339,0.14413464143521748
0,2,2,64,1024,0,1.0,0.26922466871004147,0.10890863743944723
0,2,2,64,2048,0,0.1,0.29209585287288276,-0.1850324503349463
0,2,2,128,16,0,0.1,0.19036434339341893,0.32413788057545756
0,2,2,128,32,0,0.1,0.1811942471223304,0.2930421937611407
0,2,2,128,64,0,0.1,0.15521688077657458,0.4098019940979909
0,2,2,128,128,0,0.1,0.1395711753915888,0.48683630586829785
0,2,2,128,256,0,0.1,0.12763766807686386,0.5171324704186042
0,2,2,128,512,0,0.1,0.1356492392611768,0.453459079912336
0,2,2,128,1024,0,0.1,0.13872769845020694,0.4568657894780064
0,2,2,128,2048,0,1.0,0.20420179413935025,0.2207387200347969
0,2,2,256,16,0,1.0,0.1319014481739818,0.4741559117620202
0,2,2,256,32,0,1.0,0.13529489703516345,0.46573217866096883
0,2,2,256,64,0,0.1,0.14149358702509363,0.4343571283954001
0,2,2,256,128,0,0.1,0.1352298967306227,0.46396893336486345
0,2,2,256,256,0,0.1,0.1399465425373541,0.4588391350312553
0,2,2,256,512,0,0.1,0.15875361245764283,0.42775009991244395
